ID,Age,Gender,Grade,Result
874,16,Male,Undergraduate,Poor
875,16,Other,Undergraduate,Good
876,19,Other,High School,Average
877,24,Other,Postgraduate,Good
878,21,Other,High School,Average
879,20,Other,Undergraduate,Poor
880,17,Female,Undergraduate,Poor
881,20,Male,Undergraduate,Average
882,18,Other,High School,Poor
883,17,Other,High School,Poor
884,20,Other,Postgraduate,Average
885,17,Female,Postgraduate,Average
886,24,Female,Undergraduate,Average
887,17,Other,High School,Average
888,17,Female,High School,Good
889,23,Male,High School,Poor
890,18,Female,Postgraduate,Average
891,24,Other,High School,Good
892,25,Female,High School,Poor
893,24,Female,Undergraduate,Average
894,19,Other,Postgraduate,Poor
895,19,Male,High School,Good
896,20,Other,High School,Poor
897,19,Other,Postgraduate,Poor
898,19,Other,Undergraduate,Average
899,22,Other,High School,Good
900,17,Female,Postgraduate,Average
901,22,Male,Undergraduate,Poor
902,18,Female,Undergraduate,Average
903,23,Other,Postgraduate,Poor
904,23,Female,High School,Good
905,16,Other,Postgraduate,Good
906,21,Male,Undergraduate,Average
907,20,Other,High School,Poor
908,22,Female,Postgraduate,Poor
909,17,Male,Undergraduate,Poor
910,17,Other,High School,Poor
911,20,Female,Undergraduate,Average
912,16,Female,High School,Poor
913,23,Female,Undergraduate,Poor
914,22,Male,High School,Poor
915,24,Male,Undergraduate,Average
916,23,Male,High School,Poor
917,22,Female,Undergraduate,Poor
918,24,Male,Postgraduate,Poor
919,18,Male,Undergraduate,Average
920,22,Other,High School,Average
921,20,Other,Postgraduate,Good
922,16,Male,High School,Poor
923,21,Other,Undergraduate,Average
924,24,Male,High School,Good
925,22,Male,High School,Good
926,20,Female,Postgraduate,Good
927,18,Male,Postgraduate,Poor
928,20,Male,High School,Average
929,16,Male,Undergraduate,Good
930,16,Other,Postgraduate,Poor
931,21,Male,Postgraduate,Good
932,25,Male,Undergraduate,Good
933,16,Female,High School,Poor
934,25,Other,Postgraduate,Good
935,24,Male,Postgraduate,Good
936,22,Male,High School,Good
937,21,Female,Undergraduate,Average
938,21,Other,High School,Average
939,19,Other,Undergraduate,Poor
940,24,Male,Undergraduate,Average
941,17,Other,Undergraduate,Poor
942,24,Female,Undergraduate,Poor
943,19,Other,Postgraduate,Average
944,23,Female,Undergraduate,Average
945,24,Male,High School,Poor
946,21,Female,Postgraduate,Average
947,25,Other,High School,Average
948,17,Female,High School,Poor
949,20,Other,Postgraduate,Good
950,25,Other,High School,Good
951,19,Male,High School,Good
952,20,Male,Postgraduate,Good
953,20,Other,Undergraduate,Poor
954,20,Female,High School,Good
955,16,Other,Postgraduate,Poor
956,16,Male,High School,Good
957,22,Female,High School,Average
958,24,Female,High School,Average
959,20,Other,Undergraduate,Good
960,24,Female,Postgraduate,Good
961,16,Other,High School,Average
962,17,Other,Undergraduate,Good
963,23,Other,Postgraduate,Average
964,22,Female,Postgraduate,Poor
965,18,Male,Undergraduate,Average
966,22,Male,High School,Poor
967,20,Female,Undergraduate,Average
968,18,Female,High School,Average
969,20,Female,Postgraduate,Good
970,23,Female,Undergraduate,Average
971,21,Male,Undergraduate,Poor
972,24,Male,Postgraduate,Good
973,17,Other,Undergraduate,Good
974,19,Female,High School,Poor
975,19,Other,High School,Poor
976,25,Male,Undergraduate,Good
977,17,Male,Undergraduate,Poor
978,21,Male,Undergraduate,Poor
979,21,Male,High School,Good
980,18,Male,High School,Average
981,20,Other,High School,Average
982,22,Male,High School,Poor
983,25,Other,High School,Average
984,16,Other,Postgraduate,Poor
985,25,Male,Postgraduate,Average
986,21,Other,High School,Good
987,19,Female,Postgraduate,Good
988,17,Other,Postgraduate,Average
989,23,Female,High School,Average
990,22,Female,Postgraduate,Poor
991,21,Other,Undergraduate,Average
992,22,Female,Undergraduate,Average
993,18,Other,Undergraduate,Good
994,24,Male,Postgraduate,Poor
995,17,Female,Undergraduate,Poor
996,18,Other,Postgraduate,Average
997,20,Other,Undergraduate,Average
998,23,Female,Undergraduate,Average
999,25,Female,Undergraduate,Average
1000,21,Male,Undergraduate,Poor
1001,18,Female,Undergraduate,Average
1002,17,Other,Undergraduate,Average
1003,22,Other,Postgraduate,Good
1004,21,Male,High School,Average
1005,19,Female,Postgraduate,Good
1006,17,Other,High School,Good
1007,21,Other,High School,Poor
1008,24,Other,Postgraduate,Good
1009,24,Female,Undergraduate,Good
1010,21,Male,Undergraduate,Average
1011,21,Female,Undergraduate,Average
1012,20,Male,High School,Average
1013,25,Other,Postgraduate,Poor
1014,19,Male,Postgraduate,Average
1015,19,Male,Postgraduate,Good
1016,20,Other,High School,Average
1017,17,Male,Undergraduate,Good
1018,25,Female,High School,Average
1019,21,Male,Undergraduate,Good
1020,25,Other,Undergraduate,Good
1021,23,Male,Postgraduate,Average
1022,24,Other,Postgraduate,Poor
1023,18,Other,Postgraduate,Poor
1024,24,Other,High School,Good
1025,17,Male,Undergraduate,Good
1026,22,Other,Postgraduate,Poor
1027,16,Male,High School,Good
1028,18,Male,High School,Poor
1029,20,Other,Undergraduate,Good
1030,21,Other,Postgraduate,Poor
1031,24,Other,Postgraduate,Good
1032,20,Other,Postgraduate,Poor
1033,21,Male,Undergraduate,Average
1034,16,Female,Undergraduate,Good
1035,19,Female,Undergraduate,Good
1036,23,Male,High School,Poor
1037,18,Male,High School,Average
1038,21,Male,Postgraduate,Good
1039,16,Female,High School,Good
1040,16,Other,Postgraduate,Poor
1041,18,Male,Postgraduate,Poor
1042,18,Male,High School,Average
1043,18,Male,High School,Average
1044,23,Male,High School,Poor
1045,24,Male,Undergraduate,Average
1046,17,Female,High School,Poor
1047,16,Male,Undergraduate,Poor
1048,25,Male,Undergraduate,Good
1049,23,Other,High School,Poor
1050,21,Male,High School,Good
1051,24,Other,Undergraduate,Good
1052,16,Female,High School,Good
1053,18,Female,High School,Good
1054,21,Male,Undergraduate,Average
1055,25,Other,Undergraduate,Good
1056,20,Male,High School,Good
1057,20,Other,Undergraduate,Poor
1058,17,Other,High School,Average
1059,19,Male,Postgraduate,Average
1060,21,Female,High School,Average
1061,24,Other,Postgraduate,Poor
1062,20,Female,Undergraduate,Average
1063,18,Male,Postgraduate,Average
1064,24,Male,Undergraduate,Poor
1065,25,Female,Postgraduate,Average
1066,19,Male,High School,Good
1067,22,Male,High School,Poor
1068,18,Male,Undergraduate,Average
1069,25,Male,Postgraduate,Good
1070,24,Other,Postgraduate,Average
1071,16,Male,High School,Poor
1072,21,Male,Postgraduate,Good
1073,16,Male,Postgraduate,Average
1074,23,Female,Undergraduate,Poor
1075,17,Female,High School,Average
1076,22,Other,Undergraduate,Average
1077,17,Female,Postgraduate,Average
1078,22,Male,High School,Average
1079,24,Male,High School,Poor
1080,16,Other,Postgraduate,Average
1081,24,Female,Undergraduate,Poor
1082,23,Male,Undergraduate,Poor
1083,16,Other,Undergraduate,Average
1084,16,Female,Undergraduate,Good
1085,24,Female,High School,Poor
1086,18,Other,Postgraduate,Poor
1087,21,Other,Postgraduate,Average
1088,24,Other,High School,Poor
1089,25,Other,High School,Average
1090,24,Male,High School,Poor
1091,20,Other,Postgraduate,Poor
1092,19,Male,High School,Average
1093,22,Male,Postgraduate,Average
1094,17,Other,Postgraduate,Average
1095,21,Other,Undergraduate,Average
1096,16,Female,Postgraduate,Poor
1097,24,Male,Undergraduate,Average
1098,20,Male,Postgraduate,Poor
1099,18,Other,High School,Good
1100,18,Female,Postgraduate,Poor
1101,18,Other,Undergraduate,Good
1102,23,Male,Postgraduate,Average
1103,21,Female,High School,Good
1104,20,Male,High School,Poor
1105,20,Male,Undergraduate,Good
1106,16,Male,High School,Average
1107,22,Female,Undergraduate,Average
1108,20,Female,Postgraduate,Poor
1109,23,Male,Postgraduate,Good
1110,24,Female,Postgraduate,Poor
1111,20,Male,Undergraduate,Average
1112,23,Male,Undergraduate,Poor
1113,17,Male,Postgraduate,Average
1114,18,Other,Postgraduate,Good
1115,25,Male,Postgraduate,Poor
1116,19,Other,High School,Poor
1117,17,Other,High School,Good
1118,18,Male,Postgraduate,Poor
1119,22,Other,Undergraduate,Average
1120,20,Other,Postgraduate,Poor
1121,18,Other,Postgraduate,Average
1122,24,Female,Undergraduate,Poor
1123,24,Male,Postgraduate,Average
1124,19,Female,Undergraduate,Good
1125,19,Other,Undergraduate,Good
1126,23,Female,Undergraduate,Average
1127,25,Female,High School,Good
1128,25,Other,Postgraduate,Poor
1129,25,Male,Undergraduate,Poor
1130,25,Other,Undergraduate,Average
1131,19,Other,High School,Poor
1132,25,Other,High School,Good
1133,16,Other,Postgraduate,Average
1134,24,Female,Postgraduate,Poor
1135,23,Female,Undergraduate,Good
1136,24,Female,High School,Poor
1137,25,Other,Postgraduate,Good
1138,22,Male,High School,Average
1139,23,Other,Postgraduate,Poor
1140,18,Female,Postgraduate,Poor
1141,21,Male,Postgraduate,Poor
1142,20,Female,High School,Poor
1143,18,Male,Postgraduate,Poor
1144,23,Male,Undergraduate,Poor
1145,21,Male,Postgraduate,Poor
1146,19,Male,Postgraduate,Average
1147,17,Other,Undergraduate,Poor
1148,21,Male,High School,Average
1149,17,Female,Postgraduate,Poor
1150,20,Other,Postgraduate,Good
1151,22,Male,Undergraduate,Good
1152,18,Male,Postgraduate,Poor
1153,18,Female,Postgraduate,Good
1154,20,Female,High School,Poor
1155,20,Other,High School,Good
1156,25,Female,Undergraduate,Good
1157,20,Other,Undergraduate,Poor
1158,22,Female,Undergraduate,Average
1159,21,Female,Undergraduate,Good
1160,22,Other,High School,Average
1161,22,Other,High School,Poor
1162,25,Male,Undergraduate,Good
1163,21,Other,Postgraduate,Average
1164,18,Other,Undergraduate,Average
1165,20,Female,Undergraduate,Poor
1166,21,Male,Postgraduate,Good
1167,19,Female,High School,Good
1168,20,Female,Undergraduate,Poor
1169,23,Other,Postgraduate,Average
1170,17,Male,Undergraduate,Poor
1171,17,Other,High School,Average
1172,23,Other,Undergraduate,Good
1173,24,Female,Postgraduate,Poor
1174,24,Other,Undergraduate,Average
1175,16,Female,Postgraduate,Poor
1176,25,Male,Postgraduate,Poor
1177,18,Male,Undergraduate,Good
1178,21,Male,Undergraduate,Average
1179,24,Male,Undergraduate,Average
1180,23,Male,High School,Good
1181,23,Other,Postgraduate,Good
1182,25,Other,Undergraduate,Average
1183,17,Female,Postgraduate,Good
1184,25,Male,Postgraduate,Poor
1185,22,Other,Postgraduate,Poor
1186,21,Female,Postgraduate,Average
1187,24,Female,Postgraduate,Average
1188,24,Male,High School,Poor
1189,20,Other,Postgraduate,Average
1190,16,Female,Postgraduate,Good
1191,17,Female,Undergraduate,Average
1192,20,Male,High School,Average
1193,17,Female,Postgraduate,Average
1194,19,Other,Undergraduate,Poor
1195,23,Other,High School,Good
1196,19,Other,High School,Average
1197,20,Male,Undergraduate,Good
1198,24,Male,High School,Good
1199,25,Female,Undergraduate,Poor
1200,22,Other,Postgraduate,Good
1201,21,Other,Undergraduate,Average
1202,23,Male,Undergraduate,Average
1203,20,Other,Undergraduate,Poor
1204,24,Female,Undergraduate,Poor
1205,24,Other,Postgraduate,Good
1206,19,Male,Undergraduate,Good
1207,20,Other,Postgraduate,Good
1208,21,Male,Undergraduate,Poor
1209,22,Other,High School,Average
1210,20,Male,High School,Poor
1211,16,Male,Postgraduate,Average
1212,16,Other,High School,Poor
1213,25,Male,Postgraduate,Good
1214,16,Female,Undergraduate,Poor
1215,16,Other,Undergraduate,Good
1216,17,Female,Undergraduate,Poor
1217,20,Female,Postgraduate,Poor
1218,23,Female,Postgraduate,Good
1219,16,Male,High School,Good
1220,17,Other,Postgraduate,Average
1221,18,Male,Undergraduate,Poor
1222,25,Female,Postgraduate,Average
1223,25,Other,Undergraduate,Poor
1224,23,Male,Postgraduate,Poor
1225,18,Other,Postgraduate,Poor
1226,24,Female,Undergraduate,Poor
1227,19,Other,Undergraduate,Average
1228,20,Male,Postgraduate,Poor
1229,20,Male,Postgraduate,Good
1230,20,Male,Postgraduate,Average
1231,21,Female,Postgraduate,Good
1232,21,Other,Undergraduate,Good
1233,18,Other,Undergraduate,Good
1234,20,Female,Postgraduate,Poor
1235,16,Male,High School,Poor
1236,25,Other,High School,Average
1237,16,Male,High School,Average
1238,19,Other,Undergraduate,Average
1239,22,Female,Undergraduate,Good
1240,23,Female,High School,Good
1241,23,Male,High School,Good
1242,23,Female,High School,Poor
1243,25,Other,Postgraduate,Poor
1244,18,Other,High School,Poor
1245,17,Male,High School,Average
1246,21,Other,Undergraduate,Good
1247,19,Other,High School,Average
1248,16,Other,Postgraduate,Poor
1249,16,Male,Postgraduate,Average
1250,16,Male,Undergraduate,Poor
1251,23,Female,Undergraduate,Poor
1252,17,Female,Postgraduate,Average
1253,19,Male,Postgraduate,Average
1254,19,Female,High School,Good
1255,22,Other,Postgraduate,Good
1256,16,Female,High School,Good
1257,24,Male,Undergraduate,Average
1258,16,Other,Postgraduate,Good
1259,24,Other,Postgraduate,Poor
1260,25,Male,Postgraduate,Poor
1261,16,Male,High School,Poor
1262,19,Male,Undergraduate,Poor
1263,23,Female,High School,Average
1264,17,Male,Postgraduate,Good
1265,25,Male,Postgraduate,Poor
1266,21,Female,High School,Good
1267,22,Female,Postgraduate,Good
1268,16,Male,High School,Good
1269,19,Other,Undergraduate,Average
1270,22,Male,High School,Poor
1271,25,Female,High School,Poor
1272,25,Other,Undergraduate,Poor
1273,16,Male,High School,Poor
1274,21,Male,High School,Average
1275,22,Male,Undergraduate,Average
1276,24,Female,High School,Good
1277,23,Other,High School,Poor
1278,17,Male,High School,Good
1279,19,Female,Postgraduate,Poor
1280,17,Male,Undergraduate,Average
1281,25,Other,High School,Average
1282,17,Female,High School,Average
1283,22,Female,Postgraduate,Poor
1284,25,Female,Postgraduate,Good
1285,17,Female,High School,Average
1286,18,Male,Undergraduate,Average
1287,22,Female,Postgraduate,Poor
1288,19,Other,Undergraduate,Average
1289,22,Female,Undergraduate,Poor
1290,18,Female,High School,Poor
1291,17,Female,High School,Good
1292,20,Female,High School,Good
1293,22,Other,Undergraduate,Poor
1294,17,Female,High School,Average
1295,19,Female,High School,Average
1296,23,Female,High School,Good
1297,19,Male,Undergraduate,Average
1298,21,Female,Postgraduate,Average
1299,23,Other,Postgraduate,Good
1300,17,Male,Postgraduate,Good
1301,23,Female,Postgraduate,Good
1302,16,Other,High School,Poor
1303,19,Other,Undergraduate,Good
1304,21,Female,Postgraduate,Good
1305,17,Male,Postgraduate,Average
1306,23,Male,Postgraduate,Poor
1307,25,Other,Undergraduate,Good
1308,17,Female,Postgraduate,Poor
1309,20,Female,Postgraduate,Poor
1310,25,Other,Undergraduate,Good
1311,25,Female,Postgraduate,Poor
1312,22,Female,Postgraduate,Good
1313,23,Other,Undergraduate,Average
1314,18,Male,High School,Good
1315,19,Other,Postgraduate,Average
1316,19,Other,Postgraduate,Good
1317,17,Female,Postgraduate,Poor
1318,25,Other,Undergraduate,Average
1319,21,Other,Postgraduate,Good
1320,16,Male,High School,Good
1321,22,Other,Postgraduate,Poor
1322,19,Other,High School,Good
1323,23,Male,Postgraduate,Good
1324,19,Male,Postgraduate,Poor
1325,22,Other,Undergraduate,Average
1326,16,Male,High School,Poor
1327,18,Male,High School,Good
1328,17,Other,Undergraduate,Good
1329,20,Female,High School,Good
1330,20,Male,Undergraduate,Good
1331,18,Female,Undergraduate,Poor
1332,24,Female,Undergraduate,Good
1333,20,Male,High School,Average
1334,25,Female,High School,Poor
1335,21,Male,Undergraduate,Poor
1336,18,Male,High School,Good
1337,17,Other,High School,Average
1338,22,Male,High School,Poor
1339,25,Other,Undergraduate,Average
1340,18,Female,High School,Poor
1341,24,Other,High School,Poor
1342,20,Male,Undergraduate,Poor
1343,16,Female,Undergraduate,Poor
1344,17,Male,High School,Good
1345,20,Female,Postgraduate,Average
1346,20,Female,Postgraduate,Good
1347,20,Female,Undergraduate,Poor
1348,17,Other,Undergraduate,Good
1349,17,Other,High School,Good
1350,25,Male,Postgraduate,Good
1351,20,Male,Postgraduate,Good
1352,25,Female,Postgraduate,Poor
1353,22,Female,High School,Average
1354,17,Female,High School,Average
1355,22,Other,High School,Average
1356,23,Male,High School,Average
1357,18,Other,Undergraduate,Good
1358,20,Other,High School,Good
1359,25,Other,High School,Good
1360,18,Other,High School,Average
1361,25,Other,High School,Poor
1362,24,Male,High School,Poor
1363,20,Male,Postgraduate,Average
1364,23,Other,Undergraduate,Average
1365,19,Other,High School,Good
1366,16,Female,Undergraduate,Poor
1367,19,Male,Undergraduate,Poor
1368,22,Male,Postgraduate,Poor
1369,23,Male,High School,Good
1370,17,Male,High School,Average
1371,19,Male,Postgraduate,Average
1372,20,Other,Undergraduate,Poor
1373,22,Other,Postgraduate,Poor
1374,16,Other,High School,Average
1375,25,Other,Postgraduate,Poor
1376,18,Female,Postgraduate,Poor
1377,22,Other,Undergraduate,Average
1378,19,Other,Postgraduate,Poor
1379,23,Female,High School,Good
1380,25,Female,Postgraduate,Poor
1381,25,Female,Postgraduate,Poor
1382,22,Male,Postgraduate,Good
1383,16,Female,Undergraduate,Good
1384,24,Female,High School,Good
1385,17,Female,High School,Poor
1386,25,Female,Undergraduate,Average
1387,19,Male,Postgraduate,Poor
1388,22,Male,High School,Average
1389,20,Female,Postgraduate,Average
1390,21,Other,Undergraduate,Poor
1391,17,Female,Undergraduate,Good
1392,24,Male,Undergraduate,Good
1393,21,Male,High School,Poor
1394,22,Female,Undergraduate,Good
1395,18,Male,Undergraduate,Poor
1396,20,Female,Undergraduate,Average
1397,22,Male,Postgraduate,Good
1398,24,Male,High School,Average
1399,17,Male,High School,Average
1400,23,Female,Postgraduate,Poor
1401,20,Female,Undergraduate,Good
1402,25,Other,Undergraduate,Poor
1403,25,Female,Undergraduate,Poor
1404,18,Other,Postgraduate,Poor
1405,16,Male,High School,Average
1406,16,Male,High School,Good
1407,19,Male,Postgraduate,Good
1408,20,Female,Postgraduate,Average
1409,25,Other,Undergraduate,Average
1410,20,Male,Undergraduate,Average
1411,18,Male,Postgraduate,Poor
1412,17,Other,Undergraduate,Poor
1413,24,Female,Postgraduate,Poor
1414,18,Male,High School,Good
1415,22,Male,High School,Good
1416,20,Other,High School,Poor
1417,25,Female,Undergraduate,Average
1418,20,Other,Undergraduate,Good
1419,22,Female,High School,Average
1420,25,Male,High School,Average
1421,23,Other,High School,Poor
1422,16,Female,Postgraduate,Average
1423,23,Female,Postgraduate,Poor
1424,18,Male,Undergraduate,Poor
1425,22,Female,High School,Good
1426,18,Male,High School,Good
1427,17,Male,High School,Good
1428,18,Male,Postgraduate,Average
1429,22,Male,Undergraduate,Good
1430,17,Female,High School,Poor
1431,25,Female,Undergraduate,Average
1432,24,Female,High School,Good
1433,25,Other,Postgraduate,Average
1434,16,Other,High School,Average
1435,17,Male,Postgraduate,Good
1436,21,Other,Undergraduate,Poor
1437,20,Male,Undergraduate,Average
1438,22,Male,Postgraduate,Poor
1439,19,Male,Postgraduate,Poor
1440,24,Other,Undergraduate,Poor
1441,23,Other,Postgraduate,Poor
1442,18,Male,High School,Average
1443,16,Other,Postgraduate,Poor
1444,17,Male,Postgraduate,Good
1445,20,Female,Undergraduate,Average
1446,16,Female,Postgraduate,Poor
1447,22,Other,High School,Good
1448,24,Other,Postgraduate,Good
1449,24,Female,Undergraduate,Good
1450,23,Male,Postgraduate,Average
1451,16,Other,Postgraduate,Average
1452,17,Female,Postgraduate,Good
1453,21,Female,Postgraduate,Poor
1454,21,Other,High School,Poor
1455,18,Male,Postgraduate,Good
1456,17,Other,High School,Average
1457,20,Male,High School,Good
1458,22,Male,High School,Poor
1459,25,Male,Postgraduate,Poor
1460,23,Female,Undergraduate,Poor
1461,17,Other,High School,Poor
1462,22,Female,Postgraduate,Good
1463,19,Female,High School,Good
1464,22,Female,Undergraduate,Poor
1465,16,Other,Postgraduate,Good
1466,23,Female,Postgraduate,Average
1467,22,Male,Postgraduate,Poor
1468,22,Male,Undergraduate,Good
1469,16,Male,High School,Poor
1470,19,Female,High School,Average
1471,21,Other,Undergraduate,Good
1472,18,Female,Undergraduate,Average
1473,24,Male,High School,Average
1474,16,Female,Postgraduate,Good
1475,19,Female,High School,Average
1476,24,Other,High School,Average
1477,22,Female,Undergraduate,Average
1478,23,Other,Postgraduate,Average
1479,24,Male,Undergraduate,Poor
1480,20,Male,Postgraduate,Poor
1481,19,Other,High School,Average
1482,22,Other,High School,Average
1483,21,Other,Undergraduate,Good
1484,19,Female,High School,Average
1485,17,Male,Undergraduate,Average
1486,24,Other,Postgraduate,Average
1487,19,Male,Postgraduate,Average
1488,22,Other,Undergraduate,Average
1489,18,Male,Undergraduate,Poor
1490,20,Female,Postgraduate,Average
1491,23,Female,Undergraduate,Good
1492,19,Other,High School,Poor
1493,21,Other,Postgraduate,Good
1494,20,Female,High School,Average
1495,16,Female,High School,Average
1496,24,Female,High School,Poor
1497,16,Male,Undergraduate,Poor
1498,18,Female,Undergraduate,Poor
1499,17,Female,High School,Good
1500,21,Female,Undergraduate,Poor
1501,21,Male,Postgraduate,Good
1502,21,Female,Postgraduate,Good
1503,19,Other,High School,Poor
1504,21,Female,Undergraduate,Average
1505,20,Male,Undergraduate,Poor
1506,18,Female,Postgraduate,Good
1507,25,Other,Postgraduate,Poor
1508,18,Female,Undergraduate,Poor
1509,21,Female,Postgraduate,Average
1510,17,Female,Postgraduate,Good
1511,24,Female,Undergraduate,Good
1512,21,Male,Undergraduate,Poor
1513,24,Other,Undergraduate,Good
1514,17,Other,High School,Good
1515,19,Male,High School,Average
1516,16,Other,Postgraduate,Average
1517,20,Female,Undergraduate,Average
1518,20,Male,Undergraduate,Average
1519,24,Female,High School,Average
1520,18,Female,Postgraduate,Poor
1521,20,Other,Undergraduate,Good
1522,18,Other,Undergraduate,Poor
1523,17,Female,Postgraduate,Poor
1524,23,Female,High School,Good
1525,18,Male,Undergraduate,Good
1526,19,Male,Undergraduate,Average
1527,16,Male,High School,Average
1528,20,Female,Postgraduate,Good
1529,21,Female,Undergraduate,Average
1530,23,Female,High School,Average
1531,16,Other,Postgraduate,Average
1532,18,Female,Undergraduate,Good
1533,22,Female,High School,Good
1534,24,Female,Undergraduate,Poor
1535,23,Other,Postgraduate,Poor
1536,21,Male,Undergraduate,Average
1537,22,Female,Undergraduate,Good
1538,23,Female,Undergraduate,Average
1539,23,Female,High School,Poor
1540,18,Other,Postgraduate,Good
1541,17,Female,High School,Poor
1542,22,Male,Postgraduate,Average
1543,16,Other,Postgraduate,Poor
1544,21,Male,Postgraduate,Poor
1545,18,Male,High School,Good
1546,22,Female,Undergraduate,Average
1547,17,Female,Postgraduate,Poor
1548,21,Other,Undergraduate,Poor
1549,18,Male,Undergraduate,Good
1550,21,Other,Postgraduate,Average
1551,22,Male,Postgraduate,Poor
1552,20,Female,Postgraduate,Average
1553,17,Other,Postgraduate,Average
1554,24,Other,Undergraduate,Poor
1555,23,Male,High School,Poor
1556,23,Female,Undergraduate,Good
1557,16,Female,Undergraduate,Poor
1558,17,Male,Postgraduate,Poor
1559,23,Other,Undergraduate,Average
1560,20,Female,Undergraduate,Good
1561,21,Female,Undergraduate,Average
1562,18,Male,High School,Average
1563,17,Female,High School,Average
1564,16,Female,Postgraduate,Poor
1565,23,Other,High School,Poor
1566,18,Male,Postgraduate,Good
1567,22,Male,Undergraduate,Poor
1568,19,Male,Undergraduate,Good
1569,25,Female,High School,Poor
1570,25,Other,High School,Average
1571,24,Male,High School,Poor
1572,19,Other,High School,Poor
1573,25,Other,High School,Poor
1574,24,Female,Postgraduate,Average
1575,22,Male,Undergraduate,Average
1576,25,Other,Undergraduate,Average
1577,17,Female,Undergraduate,Average
1578,16,Male,Undergraduate,Good
1579,21,Other,High School,Average
1580,20,Female,High School,Good
1581,18,Female,Postgraduate,Average
1582,21,Female,Postgraduate,Average
1583,18,Female,Undergraduate,Good
1584,23,Female,High School,Good
1585,19,Other,Postgraduate,Good
1586,21,Female,Postgraduate,Average
1587,21,Female,High School,Poor
1588,22,Male,High School,Average
1589,18,Female,Postgraduate,Good
1590,24,Male,Postgraduate,Good
1591,22,Male,Undergraduate,Good
1592,19,Female,Undergraduate,Good
1593,24,Other,Postgraduate,Poor
1594,17,Male,Postgraduate,Average
1595,23,Male,High School,Good
1596,21,Male,Postgraduate,Average
1597,16,Male,High School,Good
1598,18,Male,Undergraduate,Poor
1599,16,Female,Postgraduate,Good
1600,20,Other,Undergraduate,Good
1601,20,Other,High School,Good
1602,23,Male,Postgraduate,Average
1603,22,Female,High School,Good
1604,23,Male,Postgraduate,Good
1605,22,Female,Postgraduate,Good
1606,23,Other,High School,Average
1607,24,Other,High School,Poor
1608,18,Other,High School,Poor
1609,20,Female,High School,Good
1610,19,Male,Undergraduate,Good
1611,20,Other,High School,Poor
1612,20,Male,High School,Average
1613,22,Male,High School,Good
1614,21,Other,Postgraduate,Average
1615,22,Male,Undergraduate,Average
1616,21,Male,Undergraduate,Good
1617,17,Male,High School,Average
1618,24,Female,High School,Good
1619,18,Female,High School,Average
1620,21,Other,Undergraduate,Good
1621,18,Other,Postgraduate,Average
1622,22,Female,High School,Poor
1623,17,Female,Postgraduate,Average
1624,16,Male,Postgraduate,Poor
1625,21,Other,Postgraduate,Average
1626,18,Other,Postgraduate,Average
1627,18,Female,Undergraduate,Good
1628,20,Female,Postgraduate,Good
1629,20,Female,High School,Good
1630,23,Male,Postgraduate,Poor
1631,22,Male,High School,Good
1632,23,Male,High School,Average
1633,19,Female,Postgraduate,Good
1634,20,Other,Undergraduate,Poor
1635,16,Other,Undergraduate,Average
1636,25,Male,Undergraduate,Average
1637,22,Male,High School,Average
1638,23,Other,Postgraduate,Good
1639,19,Female,High School,Average
1640,24,Male,Postgraduate,Average
1641,24,Female,Postgraduate,Poor
1642,19,Female,Postgraduate,Average
1643,25,Female,Postgraduate,Good
1644,16,Other,Undergraduate,Poor
1645,19,Other,High School,Average
1646,18,Female,Undergraduate,Good
1647,24,Other,Postgraduate,Average
1648,16,Female,Postgraduate,Average
1649,21,Other,High School,Good
1650,22,Female,High School,Poor
1651,17,Other,Postgraduate,Average
1652,23,Male,Undergraduate,Good
1653,17,Male,High School,Poor
1654,19,Female,High School,Good
1655,18,Female,High School,Average
1656,24,Female,Postgraduate,Average
1657,24,Female,Undergraduate,Average
1658,17,Male,Undergraduate,Average
1659,23,Male,Undergraduate,Poor
1660,23,Male,High School,Poor
1661,24,Male,High School,Average
1662,22,Male,High School,Poor
1663,24,Male,Postgraduate,Good
1664,19,Female,Undergraduate,Good
1665,20,Male,High School,Average
1666,22,Female,High School,Average
1667,19,Other,High School,Average
1668,24,Other,Undergraduate,Good
1669,19,Other,Postgraduate,Good
1670,24,Other,Undergraduate,Poor
1671,18,Female,Undergraduate,Good
1672,22,Male,Undergraduate,Good
1673,25,Male,Postgraduate,Good
1674,19,Male,High School,Good
1675,24,Female,High School,Poor
1676,16,Male,Postgraduate,Average
1677,16,Female,Postgraduate,Poor
1678,24,Other,Postgraduate,Poor
1679,18,Other,High School,Average
1680,18,Female,Postgraduate,Poor
1681,16,Other,Postgraduate,Average
1682,21,Female,High School,Average
1683,25,Other,Undergraduate,Average
1684,17,Female,Postgraduate,Poor
1685,19,Other,Postgraduate,Average
1686,17,Female,Postgraduate,Average
1687,23,Female,Undergraduate,Good
1688,19,Other,Undergraduate,Good
1689,19,Female,Postgraduate,Poor
1690,19,Other,High School,Average
1691,25,Male,High School,Good
1692,21,Other,Postgraduate,Good
1693,17,Other,Postgraduate,Good
1694,24,Male,High School,Average
1695,21,Male,High School,Average
1696,19,Other,Postgraduate,Poor
1697,21,Male,Undergraduate,Average
1698,21,Other,High School,Average
1699,16,Other,Undergraduate,Average
1700,20,Male,Postgraduate,Poor
1701,23,Female,High School,Good
1702,25,Female,High School,Poor
1703,21,Other,Undergraduate,Average
